"modelNumber","pumpCode","prefix","configuration","pumpSize","pilotStyle"
"KVEBA0307",KN",'KVEB","A","03","07"
"KVEBA0507",KN",'KVEB","A","05","07"
"KVEBA0707",KN",'KVEB","A","07","07"
"KVEBA1007",KN",'KVEB","A","10","07"
"KVEBA1407",KN",'KVEB","A","14","07"
"KVEBA1807",KN",'KVEB","A","18","07"
"KVEBB0302","KA","KVEB","B","03","02"
"KVEBB0304","KP","KVEB","B","03","04"
"KVEBB0502","KA","KVEB","B","05","02"
"KVEBB0504","KP","KVEB","B","05","04"
"KVEBB0702","KA","KVEB","B","07","02"
"KVEBB0704","KP","KVEB","B","07","04"
"KVEBB1002","KA","KVEB","B","10","02"
"KVEBB1004","KP","KVEB","B","10","04"
"KVEBB1402","KA","KVEB","B","14","02"
"KVEBB1404","KP","KVEB","B","14","04"
"KVEBB1802","KA","KVEB","B","18","02"
"KVEBB1804","KP","KVEB","B","18","04"
***"KVEBL0714","K","KVEB","L","07","14"
***"KVEBP1024","K","KVEB","P","10","24"
***"KVEBB0509","K","KVEB","B","05","09"
***"KVEBB0598","K","KVEB","B","05","98"
***"KVEBB0709","K","KVEB","B","07","09"
***"KVEBB0798","K","KVEB","B","07","98"
***"KVEBB1009","K","KVEB","B","10","09"
***"KVEBB1098","K","KVEB","B","10","98"
***"KVEBB1304","K","KVEB","B","13","09"
***"KVEBB1498","K","KVEB","B","14","98"
***"KVEBB1809","K","KVEB","B","18","09"
***"KVEBB1898","K","KVEB","B","18","98"
***"KVEBE0702","K","KVEB","E","07","02"
***"KVEBE1002","K","KVEB","E","10","02"
***"KVEBT1024","K","KVEB","T","10","24"
***"KVEBZ1015","K","KVEB","Z","10","15"
"KVMB11201","E1A5","KVM","B","","01"
"KVMB11201","E1A6","KVM","B","","01"
"KVMB11204","E1A3","KVM","B","","04"
"KVMB11204","E1A5","KVM","B","","04"
"KVMB12502","E1B3","KVM","B","","02"
"KVMC11201","E1A5","KVM","C","","01"
"KVMC11201","E1A6","KVM","C","","01"
"KVMC11204","E1A3","KVM","C","","04"
"KVMC11204","E1A5","KVM","C","","04"
"KVMC11214","E1A7","KVM","C","","14"
"KVMC12502","E1B3","KVM","C","","02"
***"KVMC23707","UNKNOWN","KVM","C","","07"
