"modelNumber","prefix","revisionLetter","typeNumber","coilNumber","connectorNumber","whereUsed"
"MCV116A1100","116","A","1","1","00","KVF"
"MCV116A1101","116","A","1","1","01","KVF"
"MCV116A1102","116","A","1","1","02","KVF"
"MCV116A1201","116","A","1","2","01","KVF"
"MCV116A1203","116","A","1","2","02","KVF"
"MCV116A1204","116","A","1","2","04","KVF"
"MCV116A1301","116","A","1","3","02","KVF"
"MCV116A1302","116","A","1","3","02","KVF"
"MCV116A1307","116","A","1","3","04","KVF"
"MCV116A1401","116","A","1","4","01","KVF"
"MCV116A1402","116","A","1","4","02","KVF"
"MCV116A1407","116","A","1","4","01","KVF"
"MCV116A1501","116","A","1","5","01","KVF"
"MCV116A2100","116","A","2","1","00","102"
"MCV116A2101","116","A","2","1","01","102"
"MCV116A2102","116","A","2","1","02","102"
"MCV116A3101","116","A","3","1","01","S-20,M-46"
"MCV116A3102","116","A","3","1","02","S-20,M-46"
"MCV116A3105","116","A","3","1","05","S-20,M-46"
"MCV116A3201","116","A","3","2","01","S-20,M-46"
"MCV116A3203","116","A","3","2","02","KVF"
"MCV116A3204","116","A","3","2","04","S-20,M-46"
"MCV116A3206","116","A","3","2","06","S-20,M-46"
"MCV116A3501","116","A","3","5","01","4-20"
"MCV116A3502","116","A","3","5","02","4-20"
"MCV116A3602","116","A","3","6","02","KVF"
"MCV116A4201","116","A","4","2","01","114"
"MCV116A4204","116","A","4","2","04","114"
"MCV116F3112","116","F","3","1","12","S-90"
"MCV116F3113","116","F","3","1","13","S-90"
"MCV116F4201","116","F","4","2","01","KVEA"
"MCV116F4204","116","F","4","2","04","KVEA"
"MCV116F4211","116","F","4","2","11","S-90"
"MCV116G4201","116","G","4","2","01","KVEB"
"MCV116G4204","116","G","4","2","04","KVEB"
"MCV116G4211","116","G","4","2","11","S-90"
"MCV116G4213","116","G","4","2","13","S-90"
"MCV116G4214","116","G","4","2","14","S-90"
"MCV116C1101","116","C","1","1","01","IS"
"MCV116C1201","116","C","1","2","01","IS"
"MCV116C3101","116","C","3","1","01","IS"
"MCV116C3201","116","C","3","2","01","IS"
"MCV116C1401","116","C","1","4","01","IS"
